WeekOfMonth,DayOfWeek,Manufacture_company,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year
5,3,2,0,2,1,1,1,1,21,0,8,1,5,0,12,300,1,0,0,1,5,0,0,0,0,3,2,1994
3,3,2,0,1,1,4,0,1,34,0,3,1,5,0,15,400,4,0,0,1,2,1,0,0,0,0,0,1994
5,5,2,0,4,11,2,0,0,47,0,3,1,5,0,7,400,3,0,0,2,0,0,0,0,0,0,0,1994
2,6,1,1,5,7,1,0,0,65,1,1,1,1,0,4,400,2,0,0,2,1,1,0,0,1,0,0,1994
5,1,2,0,2,2,2,1,1,27,1,3,1,5,0,3,400,1,0,0,1,3,0,0,0,0,0,0,1994
4,5,2,0,3,11,1,0,1,20,1,3,1,5,0,12,400,3,0,0,1,3,0,0,0,3,0,0,1994
1,6,2,0,1,2,3,0,0,36,1,3,1,5,0,14,400,1,0,0,2,0,0,0,0,2,0,0,1994
4,6,2,0,3,12,5,0,1,30,0,3,1,5,0,7,400,4,0,0,1,2,0,1,0,3,0,0,1994
3,2,6,0,3,4,3,0,0,42,0,4,2,5,0,7,400,1,0,0,0,1,0,0,0,3,0,0,1994
2,7,3,0,3,3,3,0,1,71,0,2,0,5,0,7,400,3,0,0,1,1,0,0,0,0,0,0,1994
5,1,2,0,1,3,5,0,0,52,0,1,1,1,0,13,400,1,0,0,0,1,0,0,0,0,0,0,1994
3,5,6,0,5,1,3,0,0,28,0,1,1,5,0,11,400,1,0,0,2,0,0,0,0,0,0,0,1994
5,1,6,0,4,2,1,0,0,61,0,1,1,5,0,3,400,1,0,0,1,1,0,0,0,0,0,0,1994
4,2,6,0,1,8,5,0,1,38,0,1,1,5,0,16,400,1,0,0,1,2,0,0,0,0,0,0,1994
4,4,6,0,3,5,1,0,0,41,0,2,0,5,0,15,400,4,0,0,1,0,0,0,0,0,0,0,1994
5,7,4,0,3,8,1,1,0,28,1,0,0,1,0,6,400,1,0,0,1,0,0,0,0,2,0,0,1994
4,4,0,0,1,5,5,0,1,32,0,1,1,1,0,6,400,1,0,0,2,0,0,0,0,0,0,0,1994
4,1,2,0,2,5,1,0,0,30,1,1,1,5,0,2,400,2,0,0,0,2,0,0,0,1,0,0,1994
2,5,3,0,2,5,1,0,0,40,0,1,1,1,0,3,400,1,0,0,2,1,0,0,0,1,0,0,1994
2,6,4,0,1,1,2,0,0,47,0,0,0,1,0,13,400,2,0,0,2,1,0,0,0,0,1,1,1994
3,7,3,0,4,8,5,0,0,63,0,1,1,1,0,8,400,3,0,0,2,1,0,0,0,2,0,0,1994
3,6,0,0,2,6,3,0,1,31,1,1,1,2,0,5,400,3,0,0,1,2,0,0,0,3,0,0,1994
3,5,3,0,5,9,3,0,0,45,0,2,0,5,0,12,400,3,0,0,3,1,1,0,0,0,0,0,1994
3,1,0,0,2,4,1,0,0,60,0,1,1,1,0,16,400,4,0,0,3,1,0,0,0,0,0,0,1994
3,4,2,0,4,6,4,0,0,21,0,0,0,2,0,1,400,2,0,0,3,3,0,0,0,1,0,0,1994
3,7,5,0,5,5,4,0,0,42,0,2,0,2,0,1,400,3,0,0,0,0,0,0,0,2,0,0,1994
3,1,3,0,3,5,4,1,0,39,0,0,0,1,0,12,400,3,0,0,1,0,0,0,0,0,0,0,1994
2,5,8,0,6,3,2,0,0,47,0,0,0,2,0,2,400,1,0,0,0,1,0,0,1,0,0,0,1994
2,3,4,0,3,3,2,0,1,42,0,0,0,1,0,2,400,3,0,0,3,0,0,0,0,3,0,0,1994
4,1,2,0,2,1,4,0,1,30,1,0,0,1,0,2,400,4,0,0,1,2,0,0,0,2,0,0,1994
4,2,6,0,3,1,4,0,0,42,0,4,2,5,0,12,400,1,0,0,0,0,0,0,0,0,0,0,1994
2,3,4,0,4,10,2,0,1,34,1,1,1,1,0,5,400,3,0,0,0,0,0,0,0,1,0,0,1994
2,2,2,0,4,10,3,0,0,30,1,0,0,1,0,11,400,4,0,0,1,2,0,0,0,1,0,0,1994
2,5,3,0,5,9,3,0,1,27,0,0,0,2,0,4,400,2,0,0,1,0,0,0,0,1,0,0,1994
4,2,2,0,4,11,4,0,0,55,0,3,1,5,0,12,400,1,0,0,1,1,0,0,0,0,0,0,1994
4,4,1,0,2,1,1,0,0,35,0,0,0,1,0,1,400,3,0,0,1,0,0,0,0,2,0,0,1994
4,3,4,0,3,4,1,1,0,35,0,0,0,1,0,11,400,1,0,0,0,2,0,0,0,1,0,0,1994
3,5,0,0,3,3,4,0,0,44,0,2,0,1,0,15,400,1,0,0,0,0,0,0,0,3,0,2,1994
1,1,1,0,1,7,1,1,1,42,0,1,1,1,0,12,400,4,0,0,1,4,0,0,0,0,1,1,1994
3,2,2,0,1,1,4,0,0,41,0,0,0,1,0,5,400,2,0,0,0,0,0,0,0,2,0,0,1994
3,3,1,0,3,1,4,0,0,72,1,0,0,1,0,16,400,1,0,0,1,1,0,0,0,0,0,0,1994
2,3,0,0,4,2,2,1,0,29,1,2,0,0,0,8,400,3,0,0,0,3,0,0,0,0,0,0,1994
2,4,0,0,1,2,3,0,1,32,1,0,0,2,0,9,400,4,0,0,1,2,0,0,1,0,0,0,1994
4,4,3,0,5,11,4,0,0,37,0,1,1,2,0,13,400,3,0,0,0,3,0,0,0,1,0,0,1994
3,4,4,0,4,5,1,1,0,37,0,1,1,5,0,10,400,1,0,0,0,2,0,0,0,3,0,0,1994
3,5,0,0,2,4,3,0,0,59,0,0,0,1,0,9,400,4,0,0,3,1,0,0,0,3,0,0,1994
4,5,0,0,5,5,4,0,0,49,0,1,1,2,0,14,400,2,0,0,3,1,0,0,0,0,0,0,1994
4,3,0,0,5,6,4,0,0,27,0,1,1,1,0,4,500,3,0,0,0,2,0,0,0,3,2,0,1994
